,Source,Target,Weight
439,Brage,Odin,3
440,Loke,Winter,3
441,Thor,Trolls,3
442,Loke,Oath,3
443,Frey,Thor,3
444,Thjalfe,Roskva,3
445,Thor,Eyes,3
446,Thor,Wood,3
447,Thor,Place,3
448,Thor,Provisions,3
449,Thor,Provision-sack,3
450,Thor,Way,3
451,Skrymer,Provision-sack,3
452,Skrymer,Thor,3
453,Skrymer,Awoke,3
454,Thor,Time,3
455,Thor,Burg,3
456,Loke,Man,3
457,Thjalfe,Utgard-loke,3
458,Huge,Goal,3
459,Thor,Horn,3
460,Thor,Hand,3
461,Thor,Middle,3
462,Thor,Hands,3
463,Thor,Wrestle,3
464,Midgard,Thor,3
465,Hymer,Boat,3
466,Thor,Line,3
467,Thor,Serpent,3
468,Thor,Feet,3
469,Thor,Sea,3
470,Balder,Life,3
471,Laufey,Son,3
472,Frigg,Asas,3
473,Balder,Hoder,3
474,Hermod,Odin,3
475,Odin,Steed,3
476,Odin,Forth,3
477,Hermod,Balder,3
478,Balder,Name,3
479,Thor,Dwarf,3
480,Frey,Heimdal,3
481,Heimdal,Freyja,3
482,Heimdal,Odin,3
483,Freyja,Draupner,3
484,Odin,Gold,3
485,Hel,Hermod,3
486,Hel,Horse,3
487,Thok,Balder,3
488,Hel,Death,3
489,Balder,Death,3
490,Loke,Hel,3
491,Loke,Net,3
492,Loke,Fire,3
493,Loke,Stones,3
494,Loke,Life,3
495,Loke,Brother,3
496,Vale,Narfe,3
497,Loke,Earth,3
498,Mimer,Ygdrasil,3
499,Mimer,Things,3
500,Vidar,Wolf,3
501,Mode,Magne,3
502,Loke,Æger,3
503,Thor,Njord,3
504,Thor,Tyr,3
505,Thor,Vidar,3
506,Thor,Uller,3
507,Njord,Vidar,3
508,Frey,Vidar,3
509,Tyr,Vidar,3
510,Heimdal,Vidar,3
511,Heimdal,Forsete,3
512,Honer,Loke,3
513,Freyja,Gerd,3
514,Æger,Things,3
515,Brage,Æger,3
516,Brage,Apples,3
517,Brage,Loke,3
518,Loke,Hands,3
519,Idun,Asgard,3
520,Thjasse,Eagle,3
521,Thjasse,Home,3
522,Thjasse,Asas,3
523,Asgard,Skade,3
524,Odin,Bauge,3
525,Bolverk,Work,3
526,Bolverk,Men,3
527,Suttung,Drop,3
528,Odin,Jars,3
529,Brage,Diction,3
530,Odin,Tyr,3
531,Troy,Sons,3
532,Æger,Thor,3
533,Æger,Odin,3
534,Jotunheim,Hrungner,3
535,Hrungner,Air,3
536,Odin,Distance,3
537,Asgard,Freyja,3
538,Thor,Honor,3
539,Hrungner,Giants,3
540,Hrungner,Stone,3
541,Thor,Shoulders,3
542,Mokkerkalfe,Thor,3
543,Hrungner,Hammer,3
