,AIR,ANIMALS,APOLLO,APPLE,ARK,ARM,ARROW,ASS,BASKET,BATH,BEAR,BELL,BIRD,BIRDS,BLOOD,BOAT,BODY,BOOK,BOTTLE,BOW,BOX,BRANCH,BRIDGE,CASTLE,CHAIN,CHARIOT,CHILD,CIRCLE,CITY,CLOAK,CLOTHES,CLOUDS,COLD,COLUMN,COMBAT,COW,CROSS,CROWD,CROWN,CRYSTAL,DANCE,DARKNESS,DEATH,DESERT,DESTRUCTION,DEVIL,DISGUISE,DOG,DOOR,DOVE,DRAGON,DRINK,DUST,DWARF,EAGLE,EARTH,EGYPT,EMPEROR,EVE,EYE,FARMER,FATHER,FIELDS,FIGHT,FIRE,FISH,FLIGHT,FLUTE,FOOT,FOREST,FOUNTAIN,FRUIT,GARDEN,GARLAND,GIANT,GOBLET,GOLD,HAIR,HALO,HAND,HARE,HAT,HEAD,HEART,HEAVEN,HELL,HERO,HORNS,HORSE,HOUSE,HUNT,HUNTER,INSTRUMENTS,ISLAND,IVY,JOURNEY,JUPITER,KING,KNIFE,LAMP,LAUREL,LIFE,LIGHT,LION,LOVE,LOVER,MAN,MARRIAGE,MARS,MASK,MEADOW,MIRROR,MIST,MOON,MOTHER,MOUNTAIN,MOUTH,MUSIC,MUSICIAN,NATURE,NIGHT,NUMBERS,TEN,NYMPHS,PALACE,PAN,PARADISE,PILLAR,POINT,POMEGRANATE,POWER,PRINCE,PROCESSION,RADIANCE,RELIEF,RING,RIVER,ROCK,ROOM,RUINS,SACRIFICE,SEA,SEASONS,SECRET,SERPENT,SHEPHERD,SHIP,SIGN,SKIN,SKULL,SNOW,SPACE,STAG,STARS,STONE,STORM,STRENGTH,SUN,SWORD,TEMPLE,THORN,THREAD,THRONE,TIME,TOMB,TOWER,TREASURE,TREE,TRIUMPH,TWILIGHT,VALLEY,VENUS,VESSEL,VICTORY,VINE,VOYAGE,WALL,WAR,WARRIORS,WATER,WAVES,WEAVING,WELL,WEST,WHEEL,WHITE,WIND,WINDOW,WINE,WINGS,WOLF,WOMAN,WOOD,WORLD
CHILD,17.0,33.0,9.0,3.0,22.0,18.0,3.0,37.0,4.0,6.0,9.0,5.0,24.0,10.0,26.0,10.0,12.0,8.0,1.0,5.0,8.0,3.0,12.0,16.0,17.0,12.0,54.0,17.0,22.0,8.0,19.0,12.0,7.0,16.0,10.0,4.0,25.0,7.0,19.0,6.0,11.0,14.0,27.0,9.0,15.0,10.0,4.0,13.0,9.0,5.0,35.0,5.0,3.0,10.0,26.0,17.0,10.0,10.0,37.0,19.0,11.0,9.0,7.0,13.0,22.0,11.0,8.0,6.0,7.0,11.0,10.0,3.0,9.0,10.0,19.0,8.0,20.0,6.0,9.0,16.0,9.0,48.0,22.0,9.0,24.0,17.0,17.0,16.0,20.0,17.0,7.0,14.0,2.0,7.0,0.0,16.0,11.0,33.0,3.0,4.0,8.0,30.0,23.0,23.0,10.0,6.0,49.0,10.0,12.0,11.0,3.0,17.0,16.0,19.0,24.0,29.0,16.0,23.0,3.0,21.0,13.0,13.0,29.0,8.0,9.0,14.0,6.0,7.0,17.0,7.0,28.0,3.0,14.0,2.0,4.0,24.0,6.0,10.0,8.0,5.0,11.0,17.0,10.0,8.0,25.0,2.0,23.0,36.0,10.0,7.0,3.0,29.0,21.0,14.0,26.0,7.0,9.0,19.0,21.0,28.0,5.0,3.0,4.0,33.0,1.0,16.0,15.0,25.0,8.0,13.0,7.0,4.0,3.0,10.0,10.0,9.0,10.0,24.0,6.0,28.0,4.0,4.0,22.0,8.0,25.0,21.0,9.0,5.0,7.0,12.0,7.0,16.0,7.0,23.0
CIRCLE,24.0,34.0,5.0,6.0,29.0,23.0,7.0,53.0,3.0,4.0,13.0,6.0,28.0,14.0,19.0,13.0,16.0,12.0,3.0,8.0,10.0,7.0,13.0,22.0,13.0,15.0,17.0,82.0,30.0,10.0,15.0,13.0,5.0,24.0,6.0,9.0,35.0,6.0,26.0,6.0,18.0,15.0,31.0,14.0,16.0,9.0,6.0,12.0,12.0,7.0,33.0,6.0,6.0,6.0,28.0,27.0,27.0,11.0,47.0,23.0,12.0,6.0,7.0,12.0,30.0,20.0,12.0,6.0,16.0,10.0,13.0,4.0,15.0,12.0,15.0,7.0,17.0,6.0,11.0,25.0,12.0,71.0,37.0,20.0,40.0,23.0,18.0,22.0,21.0,17.0,5.0,15.0,4.0,13.0,1.0,19.0,8.0,39.0,3.0,9.0,5.0,31.0,25.0,17.0,17.0,8.0,67.0,9.0,13.0,11.0,3.0,23.0,13.0,24.0,25.0,44.0,19.0,28.0,3.0,19.0,12.0,24.0,50.0,11.0,7.0,26.0,11.0,7.0,39.0,7.0,27.0,2.0,18.0,2.0,4.0,39.0,10.0,9.0,11.0,5.0,13.0,18.0,13.0,9.0,26.0,2.0,42.0,54.0,8.0,5.0,8.0,54.0,23.0,15.0,25.0,6.0,9.0,29.0,29.0,41.0,8.0,3.0,6.0,48.0,4.0,19.0,15.0,29.0,11.0,15.0,10.0,5.0,7.0,6.0,9.0,9.0,17.0,33.0,6.0,38.0,5.0,4.0,26.0,15.0,40.0,21.0,16.0,10.0,7.0,12.0,7.0,15.0,7.0,40.0
CITY,25.0,36.0,6.0,5.0,27.0,20.0,6.0,55.0,1.0,3.0,16.0,7.0,33.0,14.0,26.0,10.0,17.0,12.0,2.0,7.0,11.0,6.0,11.0,22.0,13.0,13.0,22.0,30.0,85.0,9.0,15.0,11.0,5.0,17.0,9.0,5.0,34.0,9.0,24.0,6.0,19.0,13.0,26.0,8.0,12.0,12.0,6.0,15.0,15.0,7.0,36.0,4.0,4.0,8.0,26.0,29.0,20.0,14.0,55.0,25.0,8.0,4.0,5.0,14.0,18.0,20.0,14.0,7.0,9.0,14.0,14.0,3.0,17.0,9.0,18.0,6.0,21.0,10.0,11.0,31.0,10.0,70.0,36.0,13.0,37.0,20.0,17.0,23.0,23.0,20.0,5.0,12.0,6.0,13.0,2.0,19.0,8.0,46.0,4.0,5.0,6.0,35.0,25.0,18.0,20.0,7.0,69.0,7.0,11.0,10.0,4.0,20.0,15.0,23.0,26.0,36.0,15.0,24.0,3.0,30.0,15.0,21.0,52.0,10.0,9.0,22.0,9.0,5.0,36.0,7.0,35.0,6.0,13.0,3.0,6.0,41.0,9.0,10.0,9.0,5.0,11.0,19.0,11.0,9.0,22.0,4.0,36.0,63.0,10.0,5.0,4.0,41.0,22.0,14.0,30.0,6.0,13.0,29.0,22.0,34.0,8.0,3.0,6.0,45.0,5.0,21.0,17.0,31.0,10.0,14.0,7.0,9.0,2.0,8.0,8.0,7.0,24.0,35.0,8.0,31.0,7.0,2.0,35.0,15.0,28.0,20.0,12.0,6.0,4.0,15.0,5.0,21.0,8.0,44.0
CLOAK,11.0,18.0,4.0,3.0,11.0,13.0,3.0,18.0,1.0,2.0,4.0,5.0,11.0,4.0,12.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,6.0,9.0,9.0,7.0,8.0,10.0,9.0,29.0,7.0,7.0,3.0,8.0,7.0,3.0,9.0,2.0,9.0,3.0,5.0,4.0,11.0,3.0,5.0,6.0,1.0,5.0,3.0,5.0,14.0,2.0,2.0,4.0,11.0,7.0,6.0,7.0,14.0,10.0,6.0,5.0,1.0,9.0,10.0,6.0,4.0,4.0,6.0,3.0,5.0,0.0,3.0,4.0,7.0,3.0,7.0,5.0,4.0,14.0,3.0,27.0,13.0,4.0,10.0,9.0,7.0,8.0,11.0,5.0,1.0,6.0,1.0,6.0,0.0,7.0,6.0,16.0,1.0,3.0,3.0,10.0,7.0,6.0,7.0,3.0,20.0,5.0,6.0,4.0,2.0,6.0,4.0,9.0,7.0,10.0,8.0,9.0,2.0,7.0,6.0,6.0,14.0,2.0,2.0,4.0,3.0,6.0,11.0,6.0,12.0,2.0,3.0,2.0,4.0,17.0,4.0,5.0,5.0,1.0,7.0,4.0,3.0,5.0,9.0,0.0,12.0,22.0,5.0,4.0,2.0,11.0,5.0,7.0,7.0,2.0,4.0,11.0,11.0,11.0,3.0,1.0,5.0,12.0,2.0,6.0,7.0,12.0,4.0,4.0,3.0,3.0,4.0,5.0,1.0,4.0,6.0,13.0,3.0,11.0,2.0,2.0,12.0,3.0,8.0,7.0,6.0,4.0,6.0,7.0,3.0,5.0,4.0,11.0
CLOTHES,15.0,28.0,3.0,4.0,18.0,15.0,2.0,30.0,5.0,3.0,12.0,3.0,25.0,12.0,17.0,8.0,10.0,8.0,1.0,2.0,7.0,3.0,9.0,13.0,13.0,11.0,19.0,15.0,15.0,7.0,42.0,9.0,6.0,16.0,8.0,4.0,21.0,6.0,18.0,6.0,15.0,13.0,20.0,10.0,11.0,6.0,5.0,10.0,7.0,4.0,24.0,5.0,5.0,8.0,21.0,12.0,13.0,9.0,24.0,16.0,9.0,5.0,5.0,10.0,19.0,9.0,8.0,4.0,8.0,9.0,9.0,1.0,8.0,7.0,15.0,7.0,14.0,6.0,7.0,16.0,10.0,35.0,20.0,12.0,23.0,12.0,13.0,16.0,15.0,18.0,5.0,12.0,3.0,9.0,0.0,12.0,9.0,23.0,2.0,3.0,6.0,21.0,13.0,19.0,11.0,7.0,35.0,7.0,12.0,12.0,3.0,13.0,9.0,12.0,18.0,25.0,12.0,20.0,1.0,19.0,9.0,12.0,19.0,7.0,8.0,12.0,4.0,5.0,18.0,6.0,21.0,3.0,15.0,2.0,5.0,26.0,7.0,7.0,7.0,5.0,10.0,10.0,7.0,7.0,19.0,1.0,22.0,26.0,11.0,8.0,4.0,25.0,17.0,10.0,17.0,5.0,7.0,17.0,17.0,22.0,2.0,1.0,5.0,22.0,3.0,14.0,14.0,18.0,5.0,15.0,5.0,6.0,2.0,7.0,4.0,7.0,10.0,20.0,8.0,26.0,3.0,4.0,16.0,5.0,18.0,14.0,10.0,7.0,5.0,9.0,6.0,17.0,4.0,16.0
CLOUDS,11.0,15.0,3.0,2.0,14.0,8.0,4.0,17.0,3.0,3.0,7.0,2.0,12.0,6.0,11.0,6.0,7.0,5.0,1.0,1.0,3.0,2.0,8.0,11.0,10.0,9.0,12.0,13.0,11.0,7.0,9.0,26.0,2.0,10.0,3.0,3.0,14.0,3.0,9.0,5.0,9.0,5.0,14.0,8.0,9.0,4.0,4.0,5.0,7.0,4.0,14.0,5.0,1.0,4.0,15.0,11.0,6.0,6.0,17.0,10.0,5.0,3.0,2.0,9.0,13.0,9.0,5.0,5.0,7.0,5.0,6.0,1.0,6.0,6.0,9.0,4.0,9.0,3.0,4.0,14.0,5.0,24.0,14.0,6.0,16.0,12.0,9.0,8.0,12.0,10.0,4.0,10.0,1.0,8.0,0.0,8.0,5.0,19.0,1.0,1.0,4.0,15.0,10.0,9.0,11.0,5.0,19.0,5.0,5.0,3.0,3.0,10.0,13.0,10.0,10.0,18.0,10.0,13.0,2.0,10.0,8.0,8.0,13.0,7.0,4.0,5.0,3.0,5.0,14.0,7.0,12.0,1.0,6.0,1.0,2.0,14.0,9.0,7.0,6.0,3.0,6.0,10.0,6.0,5.0,10.0,2.0,19.0,18.0,5.0,4.0,4.0,16.0,10.0,9.0,15.0,6.0,7.0,10.0,12.0,17.0,2.0,1.0,6.0,19.0,2.0,9.0,10.0,16.0,2.0,7.0,6.0,4.0,4.0,5.0,4.0,6.0,8.0,9.0,3.0,18.0,5.0,2.0,12.0,6.0,13.0,11.0,7.0,3.0,4.0,4.0,4.0,7.0,2.0,14.0
COLD,8.0,11.0,2.0,4.0,8.0,9.0,2.0,12.0,0.0,0.0,2.0,2.0,10.0,3.0,10.0,3.0,6.0,7.0,1.0,1.0,2.0,1.0,2.0,6.0,5.0,6.0,7.0,5.0,5.0,3.0,6.0,2.0,19.0,8.0,3.0,1.0,10.0,2.0,5.0,1.0,5.0,3.0,7.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,6.0,3.0,1.0,3.0,10.0,8.0,7.0,4.0,13.0,7.0,3.0,3.0,0.0,8.0,8.0,4.0,5.0,1.0,3.0,2.0,4.0,0.0,2.0,1.0,5.0,3.0,5.0,3.0,4.0,7.0,2.0,16.0,7.0,6.0,5.0,5.0,7.0,5.0,8.0,5.0,1.0,5.0,0.0,2.0,1.0,3.0,6.0,13.0,3.0,1.0,0.0,5.0,9.0,4.0,8.0,5.0,14.0,2.0,9.0,3.0,0.0,6.0,3.0,8.0,6.0,12.0,4.0,9.0,1.0,8.0,2.0,5.0,7.0,1.0,4.0,5.0,4.0,2.0,8.0,2.0,6.0,3.0,5.0,1.0,2.0,7.0,3.0,3.0,4.0,0.0,4.0,4.0,3.0,4.0,6.0,0.0,8.0,9.0,2.0,2.0,0.0,13.0,3.0,3.0,6.0,2.0,4.0,8.0,10.0,8.0,0.0,2.0,1.0,9.0,1.0,6.0,4.0,11.0,1.0,6.0,2.0,2.0,0.0,4.0,2.0,3.0,3.0,10.0,1.0,9.0,0.0,0.0,6.0,7.0,7.0,6.0,3.0,2.0,3.0,4.0,2.0,5.0,2.0,7.0
COLUMN,16.0,32.0,5.0,5.0,19.0,15.0,5.0,32.0,2.0,5.0,7.0,3.0,21.0,9.0,19.0,12.0,15.0,11.0,1.0,5.0,11.0,5.0,12.0,18.0,12.0,16.0,16.0,24.0,17.0,8.0,16.0,10.0,8.0,52.0,6.0,4.0,29.0,5.0,17.0,4.0,10.0,11.0,30.0,11.0,14.0,8.0,5.0,11.0,11.0,7.0,25.0,7.0,5.0,9.0,26.0,17.0,15.0,16.0,34.0,16.0,12.0,5.0,5.0,8.0,25.0,14.0,9.0,5.0,10.0,11.0,11.0,1.0,11.0,10.0,18.0,7.0,14.0,7.0,7.0,25.0,11.0,44.0,23.0,17.0,23.0,15.0,15.0,16.0,17.0,19.0,6.0,15.0,3.0,12.0,1.0,18.0,10.0,31.0,3.0,8.0,6.0,23.0,15.0,14.0,17.0,8.0,42.0,9.0,14.0,10.0,3.0,21.0,10.0,20.0,21.0,32.0,12.0,22.0,6.0,15.0,10.0,17.0,25.0,7.0,10.0,13.0,6.0,13.0,23.0,5.0,22.0,4.0,15.0,3.0,6.0,22.0,7.0,9.0,13.0,5.0,8.0,16.0,8.0,9.0,25.0,2.0,26.0,33.0,10.0,8.0,3.0,32.0,18.0,15.0,27.0,4.0,10.0,20.0,27.0,26.0,4.0,2.0,6.0,31.0,2.0,16.0,14.0,26.0,10.0,16.0,13.0,7.0,4.0,9.0,4.0,8.0,15.0,24.0,5.0,29.0,4.0,3.0,19.0,12.0,23.0,15.0,7.0,6.0,8.0,10.0,5.0,17.0,6.0,26.0
COMBAT,9.0,14.0,3.0,2.0,11.0,10.0,2.0,13.0,1.0,3.0,3.0,3.0,11.0,5.0,12.0,6.0,3.0,4.0,1.0,4.0,3.0,0.0,5.0,6.0,8.0,4.0,10.0,6.0,9.0,7.0,8.0,3.0,3.0,6.0,28.0,1.0,12.0,4.0,9.0,3.0,8.0,8.0,11.0,3.0,11.0,7.0,1.0,5.0,3.0,3.0,19.0,2.0,2.0,5.0,10.0,7.0,5.0,6.0,16.0,9.0,4.0,4.0,1.0,14.0,10.0,7.0,3.0,2.0,3.0,4.0,4.0,0.0,4.0,2.0,11.0,4.0,6.0,3.0,5.0,10.0,4.0,25.0,10.0,5.0,9.0,9.0,15.0,10.0,9.0,5.0,1.0,6.0,1.0,6.0,0.0,8.0,4.0,17.0,2.0,1.0,3.0,12.0,8.0,7.0,6.0,2.0,18.0,4.0,7.0,5.0,1.0,7.0,3.0,6.0,10.0,10.0,7.0,8.0,1.0,7.0,7.0,6.0,14.0,1.0,4.0,4.0,3.0,2.0,7.0,3.0,14.0,2.0,5.0,2.0,2.0,16.0,4.0,4.0,2.0,3.0,7.0,7.0,4.0,7.0,9.0,0.0,10.0,16.0,3.0,3.0,2.0,9.0,8.0,6.0,7.0,2.0,4.0,11.0,8.0,9.0,2.0,2.0,3.0,15.0,2.0,5.0,8.0,8.0,4.0,6.0,3.0,2.0,1.0,4.0,2.0,4.0,6.0,16.0,4.0,17.0,3.0,2.0,8.0,6.0,6.0,6.0,2.0,3.0,4.0,8.0,4.0,7.0,3.0,13.0
COW,7.0,8.0,1.0,1.0,6.0,4.0,1.0,13.0,0.0,1.0,7.0,5.0,6.0,5.0,4.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,5.0,4.0,5.0,6.0,4.0,9.0,5.0,3.0,4.0,3.0,1.0,4.0,1.0,18.0,10.0,1.0,6.0,1.0,7.0,3.0,9.0,4.0,4.0,5.0,0.0,6.0,1.0,1.0,8.0,1.0,4.0,1.0,7.0,9.0,10.0,1.0,9.0,7.0,2.0,4.0,1.0,2.0,10.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,5.0,3.0,6.0,4.0,2.0,7.0,6.0,14.0,11.0,5.0,11.0,8.0,2.0,8.0,6.0,5.0,2.0,3.0,0.0,2.0,1.0,5.0,2.0,11.0,2.0,0.0,1.0,5.0,8.0,4.0,2.0,1.0,17.0,2.0,3.0,5.0,1.0,5.0,1.0,6.0,8.0,8.0,7.0,8.0,1.0,4.0,4.0,3.0,10.0,2.0,2.0,6.0,1.0,3.0,4.0,0.0,5.0,1.0,3.0,1.0,0.0,9.0,1.0,4.0,3.0,1.0,3.0,5.0,5.0,1.0,7.0,2.0,8.0,11.0,3.0,2.0,1.0,10.0,6.0,4.0,7.0,3.0,3.0,6.0,7.0,9.0,4.0,0.0,2.0,10.0,2.0,6.0,4.0,5.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,6.0,7.0,0.0,10.0,0.0,2.0,5.0,4.0,6.0,6.0,3.0,3.0,1.0,1.0,4.0,7.0,4.0,9.0
CROSS,32.0,53.0,11.0,6.0,38.0,27.0,14.0,73.0,4.0,5.0,20.0,6.0,39.0,17.0,36.0,22.0,22.0,16.0,4.0,13.0,16.0,12.0,18.0,22.0,17.0,25.0,25.0,35.0,34.0,9.0,21.0,14.0,10.0,29.0,12.0,10.0,115.0,7.0,34.0,7.0,17.0,21.0,48.0,18.0,25.0,18.0,7.0,14.0,18.0,9.0,48.0,8.0,7.0,10.0,42.0,37.0,35.0,16.0,75.0,31.0,12.0,11.0,6.0,18.0,40.0,21.0,18.0,7.0,15.0,14.0,18.0,4.0,15.0,16.0,22.0,9.0,24.0,11.0,12.0,39.0,13.0,96.0,47.0,26.0,46.0,29.0,29.0,28.0,31.0,19.0,8.0,26.0,4.0,14.0,2.0,23.0,12.0,60.0,6.0,10.0,6.0,50.0,34.0,28.0,29.0,9.0,93.0,7.0,22.0,13.0,4.0,25.0,19.0,28.0,30.0,57.0,23.0,39.0,6.0,30.0,25.0,23.0,67.0,12.0,9.0,23.0,11.0,10.0,50.0,7.0,41.0,5.0,26.0,5.0,3.0,54.0,8.0,15.0,8.0,7.0,21.0,28.0,17.0,11.0,37.0,3.0,52.0,77.0,10.0,10.0,7.0,52.0,37.0,16.0,38.0,6.0,18.0,37.0,45.0,57.0,11.0,3.0,9.0,63.0,7.0,24.0,22.0,46.0,16.0,21.0,14.0,7.0,7.0,16.0,12.0,13.0,21.0,53.0,7.0,52.0,8.0,5.0,41.0,25.0,45.0,28.0,18.0,12.0,6.0,18.0,14.0,23.0,11.0,63.0
CROWD,6.0,7.0,2.0,3.0,7.0,3.0,0.0,10.0,1.0,2.0,2.0,0.0,9.0,2.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,7.0,4.0,4.0,7.0,6.0,9.0,2.0,6.0,3.0,2.0,5.0,4.0,1.0,7.0,13.0,7.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,7.0,2.0,0.0,3.0,4.0,4.0,2.0,2.0,9.0,5.0,3.0,1.0,0.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,2.0,13.0,6.0,3.0,5.0,5.0,6.0,7.0,5.0,6.0,1.0,4.0,1.0,4.0,0.0,5.0,3.0,5.0,1.0,1.0,3.0,7.0,4.0,3.0,4.0,2.0,10.0,1.0,2.0,5.0,2.0,6.0,4.0,2.0,6.0,9.0,3.0,6.0,2.0,5.0,3.0,6.0,7.0,4.0,3.0,5.0,1.0,2.0,7.0,3.0,9.0,0.0,3.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,7.0,1.0,6.0,10.0,2.0,1.0,1.0,8.0,4.0,2.0,6.0,3.0,4.0,5.0,6.0,7.0,2.0,1.0,2.0,7.0,0.0,4.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,4.0,4.0,10.0,4.0,8.0,3.0,1.0,9.0,2.0,7.0,4.0,4.0,1.0,2.0,4.0,1.0,5.0,0.0,4.0
CROWN,25.0,37.0,13.0,5.0,23.0,18.0,10.0,46.0,5.0,6.0,10.0,6.0,30.0,12.0,27.0,10.0,12.0,11.0,2.0,14.0,10.0,7.0,12.0,17.0,15.0,19.0,19.0,26.0,24.0,9.0,18.0,9.0,5.0,17.0,9.0,6.0,34.0,7.0,74.0,5.0,13.0,10.0,26.0,12.0,12.0,8.0,4.0,9.0,7.0,6.0,35.0,7.0,3.0,11.0,32.0,19.0,17.0,12.0,42.0,22.0,11.0,6.0,2.0,14.0,30.0,15.0,10.0,5.0,11.0,14.0,12.0,4.0,9.0,14.0,17.0,9.0,24.0,12.0,10.0,26.0,10.0,57.0,35.0,17.0,26.0,19.0,20.0,26.0,21.0,15.0,6.0,10.0,3.0,9.0,0.0,15.0,13.0,43.0,2.0,3.0,14.0,27.0,26.0,26.0,14.0,6.0,55.0,8.0,10.0,10.0,4.0,18.0,15.0,22.0,20.0,33.0,19.0,26.0,1.0,20.0,11.0,11.0,40.0,7.0,10.0,16.0,6.0,9.0,32.0,6.0,30.0,5.0,15.0,5.0,6.0,33.0,7.0,8.0,7.0,6.0,13.0,15.0,15.0,12.0,29.0,2.0,31.0,45.0,9.0,10.0,5.0,30.0,19.0,12.0,25.0,4.0,15.0,27.0,31.0,36.0,8.0,2.0,10.0,37.0,3.0,21.0,15.0,30.0,13.0,14.0,7.0,7.0,3.0,13.0,6.0,7.0,15.0,29.0,5.0,32.0,5.0,4.0,21.0,11.0,28.0,23.0,12.0,9.0,7.0,19.0,10.0,15.0,7.0,29.0
CRYSTAL,7.0,9.0,1.0,1.0,8.0,6.0,1.0,13.0,2.0,1.0,3.0,1.0,6.0,2.0,7.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,3.0,6.0,5.0,1.0,4.0,3.0,1.0,7.0,3.0,5.0,16.0,5.0,4.0,8.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,7.0,5.0,1.0,4.0,6.0,6.0,2.0,3.0,9.0,3.0,2.0,0.0,2.0,3.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,7.0,4.0,14.0,6.0,2.0,7.0,5.0,4.0,4.0,5.0,5.0,2.0,6.0,1.0,4.0,0.0,3.0,3.0,10.0,1.0,3.0,2.0,8.0,6.0,6.0,8.0,3.0,14.0,3.0,2.0,3.0,2.0,7.0,4.0,7.0,7.0,7.0,6.0,6.0,1.0,6.0,3.0,4.0,8.0,3.0,3.0,4.0,2.0,2.0,7.0,3.0,8.0,1.0,3.0,1.0,0.0,9.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,3.0,7.0,1.0,8.0,9.0,3.0,2.0,3.0,6.0,6.0,4.0,11.0,2.0,4.0,5.0,8.0,7.0,2.0,1.0,2.0,10.0,2.0,4.0,5.0,5.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,6.0,1.0,10.0,1.0,3.0,6.0,2.0,5.0,5.0,5.0,0.0,2.0,4.0,1.0,5.0,1.0,8.0
DANCE,18.0,18.0,1.0,2.0,19.0,15.0,1.0,27.0,2.0,2.0,7.0,4.0,15.0,9.0,15.0,7.0,5.0,6.0,1.0,2.0,4.0,2.0,8.0,10.0,11.0,7.0,11.0,18.0,19.0,5.0,15.0,9.0,5.0,10.0,8.0,7.0,17.0,3.0,13.0,5.0,41.0,8.0,17.0,8.0,11.0,6.0,5.0,8.0,3.0,5.0,16.0,6.0,4.0,5.0,19.0,16.0,11.0,8.0,24.0,15.0,8.0,5.0,2.0,13.0,17.0,10.0,7.0,3.0,5.0,6.0,9.0,2.0,9.0,5.0,13.0,6.0,18.0,3.0,7.0,16.0,8.0,37.0,19.0,9.0,20.0,14.0,9.0,13.0,15.0,9.0,4.0,10.0,1.0,7.0,1.0,10.0,6.0,24.0,3.0,1.0,5.0,21.0,14.0,11.0,11.0,4.0,34.0,6.0,12.0,9.0,2.0,11.0,8.0,11.0,16.0,21.0,12.0,16.0,2.0,14.0,8.0,10.0,22.0,5.0,6.0,12.0,5.0,3.0,20.0,5.0,18.0,3.0,10.0,2.0,4.0,22.0,5.0,4.0,7.0,4.0,10.0,8.0,4.0,6.0,10.0,1.0,19.0,29.0,7.0,4.0,4.0,22.0,13.0,11.0,16.0,5.0,7.0,17.0,17.0,19.0,4.0,1.0,2.0,23.0,3.0,12.0,10.0,17.0,3.0,11.0,5.0,6.0,1.0,4.0,3.0,6.0,9.0,17.0,3.0,18.0,3.0,3.0,13.0,7.0,19.0,15.0,7.0,3.0,4.0,7.0,6.0,10.0,5.0,21.0
DARKNESS,17.0,29.0,5.0,3.0,35.0,11.0,1.0,34.0,1.0,3.0,10.0,2.0,19.0,9.0,14.0,4.0,6.0,7.0,1.0,5.0,4.0,1.0,8.0,14.0,7.0,12.0,14.0,15.0,13.0,4.0,13.0,5.0,3.0,11.0,8.0,3.0,21.0,4.0,10.0,4.0,8.0,44.0,23.0,8.0,10.0,8.0,3.0,7.0,3.0,6.0,24.0,5.0,3.0,3.0,21.0,17.0,14.0,10.0,31.0,15.0,5.0,10.0,4.0,11.0,22.0,9.0,8.0,2.0,5.0,6.0,4.0,1.0,5.0,6.0,13.0,5.0,13.0,1.0,5.0,17.0,7.0,39.0,20.0,8.0,20.0,11.0,19.0,10.0,15.0,7.0,3.0,10.0,3.0,6.0,1.0,17.0,8.0,25.0,3.0,3.0,7.0,18.0,25.0,17.0,9.0,3.0,36.0,3.0,12.0,8.0,2.0,11.0,8.0,14.0,12.0,25.0,11.0,17.0,2.0,11.0,22.0,10.0,21.0,3.0,6.0,9.0,3.0,2.0,12.0,3.0,26.0,2.0,13.0,4.0,5.0,22.0,3.0,3.0,4.0,3.0,9.0,11.0,5.0,4.0,12.0,4.0,18.0,32.0,3.0,3.0,4.0,20.0,16.0,10.0,13.0,4.0,8.0,18.0,20.0,23.0,4.0,0.0,2.0,24.0,2.0,10.0,9.0,17.0,9.0,11.0,6.0,2.0,3.0,8.0,4.0,5.0,10.0,25.0,6.0,23.0,3.0,4.0,16.0,8.0,15.0,18.0,4.0,3.0,4.0,14.0,9.0,8.0,4.0,24.0
