,Source,Target,Weight
466,Goddess,Palace,4
467,Goddess,Side,4
468,Deep,Mast,4
469,Gods,Thus,4
470,Gods,Night,4
471,Minerva,Jove,4
472,Minerva,Book,4
473,Jove,Day,4
474,Ulysses,Greecians,4
475,Goddess,Hast,4
476,Chief,Truth,4
477,Jove,Heard,4
478,Greeks,Was,4
479,Ilium,Slain,4
480,Hero,Friend,4
481,Hero,Sons,4
482,Ajax,Son,4
483,Peleus,Gods,4
484,Greeks,Jove,4
485,Greeks,Return,4
486,Gods,Host,4
487,Jove,Host,4
488,Gods,Till,4
489,Jove,Sea,4
490,Deep,Jove,4
491,Gods,Land,4
492,Jove,King,4
493,Gods,Part,4
494,Greeks,Ulysses,4
495,Ulysses,View,4
496,Queen,Man,4
497,God,Nestor,4
498,God,Death,4
499,Atrides,Menelaus,4
500,Greeks,Had,4
501,Gods,Bard,4
502,Menelaus,Man,4
503,Ulysses,Grant,4
504,Chief,Kind,4
505,Gods,Inhabitants,4
506,Jove,Sons,4
507,God,Side,4
508,Chief,Sons,4
509,Menelaus,Palace,4
510,Menelaus,Gods,4
511,Menelaus,Jove,4
512,Ulysses,Woe,4
513,Ilium,Thou,4
514,Jove,City,4
515,Ulysses,Till,4
516,Telemachus,Atrides,4
517,Telemachus,Prince,4
518,Hero,Telemachus,4
519,Pallas,Sight,4
520,Goddess,Stranger,4
521,Goddess,Thee,4
522,Deep,Course,4
523,Deep,Flood,4
524,Deep,Son,4
525,God,None,4
526,King,Men,4
527,Pylus,Son,4
528,Pylus,Suitors,4
529,Ulysses,Nor,4
530,Gods,Base,4
531,God,Sire,4
532,Penelope,None,4
533,Ulysses,Wilt,4
534,Jove,Thighs,4
535,Penelope,Thy,4
536,Ulysses,Raft,4
537,Jove,Woes,4
538,Sire,Home,4
539,Ulysses,Country,4
540,Ulysses,Tears,4
541,Goddess,None,4
542,Ulysses,Haste,4
543,Hero,God,4
544,Alcinoüs,Ulysses,4
545,Phæacia,Race,4
546,Gods,King,4
547,Gods,Side,4
548,Ulysses,Sound,4
549,Deep,Till,4
550,Gods,Remote,4
551,Jove,Guest,4
552,Chief,House,4
553,Goddess,Eyes,4
554,Neptune,Son,4
555,Neptune,Sons,4
556,Alcinoüs,Home,4
557,Pallas,Whence,4
558,Alcinoüs,Chiefs,4
559,Alcinoüs,Senators,4
560,Ulysses,Task,4
561,Jove,Toils,4
562,Ulysses,Kind,4
563,Alcinoüs,Phæacians,4
564,Goddess,Spake,4
565,Ulysses,Mark,4
566,Phæacia,Alcinoüs,4
567,God,Form,4
568,Neptune,Thee,4
569,Gods,Wife,4
570,Cyclops,Cave,4
571,Gods,Stranger,4
572,Jove,Fill,4
573,Ulysses,Course,4
574,Chief,Rest,4
575,Circe,Sun,4
576,Ulysses,Wine,4
577,Circe,Wine,4
578,Goddess,Wiles,4
579,Ulysses,Command,4
580,Pluto,Abode,4
581,Thrinacia,Herds,4
582,Ocean,God,4
583,Pylus,Neleus,4
584,Neleus,Daughter,4
585,Agamemnon,Fate,4
586,Charybdis,Sun,4
587,Ulysses,Shalt,4
588,Scylla,Rock,4
589,Ithaca,Gifts,4
590,Laertiades,Ulysses,4
591,Ulysses,Beeves,4
592,Jove,Length,4
593,Eumæus,Beneath,4
594,God,Gods,4
595,Jove,Hast,4
596,Jove,Mind,4
597,Pallas,Laertes,4
598,Ulysses,Come,4
599,Telemachus,Guest,4
600,Eumæus,Stranger,4
601,Gods,Lord,4
602,Lord,Father,4
603,Eumæus,Spread,4
604,Ulysses,Trial,4
605,Eumæus,Return,4
606,Eumæus,Son,4
607,Eumæus,Home,4
608,Eumæus,Art,4
