sign,dwarf
sign,eagle
sign,eye
sign,fight
sign,fish
sign,hero
sign,honey
sign,horns
sign,horse
sign,intestines
sign,man
sign,mouth
sign,eight
sign,ocean
sign,sails
sign,serpent
sign,shoes
sign,superiority
sign,sword
sign,throne
sign,tower
sign,twilight
sign,vessel
sign,wall
sign,water
skull,hamlet
skull,head
smoke,locusts
sound,bell
sound,cow
sound,elements
sound,harp
sound,king
sound,locusts
sound,rock
space,air
space,city
space,column
space,dance
space,destruction
space,figures
space,flight
space,fountain
space,heaven
space,journey
space,level
space,love
space,music
space,palace
space,saturn
space,ship
space,temple
space,time
space,wall
space,world
staff,rod
staff,weapons
star,hand
star,light
star,locusts
star,man
star,mountain
star,shape
star,stars
star,war
stars,heaven
stars,net
stars,eight
stars,star
steed,blood
steed,horse
steel,sword
stone,chain
stone,child
stone,column
stone,hole
stone,mother
stone,music
stone,rock
stone,space
stone,water
stranger,combat
strength,dragon
strength,fire
strength,fountain
strength,horns
strength,light
strength,moon
strength,mother
strength,power
strength,serpent
string,necklace
sun,balder
sun,bird
sun,chariot
sun,circle
sun,cold
sun,crow
sun,eagle
sun,eternity
sun,eye
sun,fight
sun,fire
sun,foot
sun,forest
sun,gold
sun,heart
sun,heat
sun,hero
sun,horse
sun,king
sun,lake
sun,locusts
sun,man
sun,matter
sun,mirror
sun,moon
sun,mouth
sun,music
sun,nature
sun,ocean
sun,prince
sun,ship
sun,space
sun,staff
sun,styx
sun,temple
sun,time
sun,twilight
sun,water
sun,west
sun,wings
superiority,fire
superiority,flight
superiority,gold
superiority,light
superiority,metals
superiority,space
sword,abyss
sword,blood
sword,book
sword,city
sword,fire
sword,gold
sword,knife
sword,weapons
sword,world
teeth,bite
teeth,locusts
teeth,mouth
teeth,power
temple,castle
temple,column
temple,lake
temple,man
temple,ship
thread,loss
thread,string
threshold,dwarf
throne,emperor
throne,jupiter
time,abyss
time,ages
time,ark
time,boar
time,dance
time,death
time,destruction
time,dragon
time,eternity
time,eye
time,fire
time,fountain
time,giant
time,gloves
time,heart
time,hell
time,island
time,king
time,lake
time,level
time,marks
time,metals
time,mirror
time,moon
time,music
time,neptune
time,plants
time,ring
time,river
time,saturn
time,sign
time,space
time,sword
time,temple
time,twilight
time,wall
time,water
time,world
tower,bower
tower,room
tower,window
treasure,castle
treasure,giant
treasure,gold
treasure,mistletoe
treasure,palace
treasure,serpent
tree,bird
tree,birds
tree,bone
tree,column
tree,death
tree,dew
tree,forest
tree,fountain
tree,mistletoe
tree,mountain
tree,oak
tree,plants
tree,seed
tree,serpent
tree,ship
tree,sign
tree,sword
tree,tower
twilight,wolf
valley,music
venus,belt
vessel,ship
victory,chariot
victory,dwarf
victory,eagle
victory,fire
victory,hawk
victory,king
victory,ship
victory,weapons
victory,wings
wall,house
wall,mirror
wall,teeth
war,blood
war,combat
war,hero
war,horse
war,sword
warriors,crowd
warriors,hero
water,air
water,basket
water,blood
water,deluge
water,destruction
water,devil
water,dew
water,dragon
water,eagle
water,elements
water,fire
water,flight
water,fountain
water,hair
water,horse
water,ice
water,lake
water,life
water,man
water,mirror
water,mist
water,moon
water,mother
water,music
water,net
water,ocean
water,rain
water,smoke
water,stars
water,superiority
water,temple
water,tree
water,well
water,wolf
waves,horse
waves,serpent
weapons,father
weapons,mars
weapons,sword
weapons,teeth
well,ages
well,air
well,bird
well,blood
well,bower
well,castle
well,circle
well,city
well,column
well,crow
well,crowd
well,death
well,door
