,Source,Target,Weight
557,Diomede,Tydeus,7
558,Æneas,Troy,7
559,Diomede,Thy,7
560,Gods,Death,7
561,Mars,Him,7
562,Trojans,Hand,7
563,Chief,Æneas,7
564,Chief,Sarpedon,7
565,Ulysses,Diomede,7
566,Ajax,Battle,7
567,Greeks,Firm,7
568,Hector,Firm,7
569,Trojans,Gods,7
570,Jove,Hero,7
571,Troy,Thee,7
572,Hector,Approach,7
573,Jove,Hands,7
574,Hector,Advice,7
575,Hector,Book,7
576,Gods,Greeks,7
577,Hector,Men,7
578,Art,Thou,7
579,Hector,Fear,7
580,Troy,Meantime,7
581,Hector,Length,7
582,God,Hector,7
583,Hector,Brother,7
584,Hector,Father,7
585,Thy,Hector,7
586,Achilles,Father,7
587,Achilles,Arm,7
588,Jove,Courage,7
589,Greeks,Gods,7
590,Ajax,Trojans,7
591,Nestor,Chief,7
592,King,Hast,7
593,Grecians,Host,7
594,Teucer,Hector,7
595,Jove,Victory,7
596,Apollo,Battle,7
597,Hector,Coursers,7
598,Priameïan,Hector,7
599,Hector,Whom,7
600,Pallas,Hector,7
601,Iris,Jove,7
602,Achilles,Book,7
603,Achilles,Godlike,7
604,Thou,Achilles,7
605,Greeks,Friend,7
606,Achilles,Side,7
607,Nestor,Machaon,7
608,Trojans,Greece,7
609,Sire,Gods,7
610,Sire,Men,7
611,Trojans,Till,7
612,Jove,From,7
613,Achilles,Nestor,7
614,Achilles,Sire,7
615,Troy,Fleet,7
616,Neptune,Apollo,7
617,Neptune,Battle,7
618,Ajax,Oïliades,7
619,Achilles,Walls,7
620,Patroclus,Sarpedon,7
621,Patroclus,Body,7
622,Æneas,Achilles,7
623,Thetis,Goddess,7
624,Achilles,Wrath,6
625,Peleus,Host,6
626,Atreus,Mighty,6
627,God,Bow,6
628,God,Shoulder,6
629,Juno,Mind,6
630,Achilles,Hath,6
631,Achilles,Hast,6
632,God,Jove,6
633,God,Apollo,6
634,Greeks,God,6
635,Jove,Thine,6
636,Ulysses,Tent,6
637,Thou,Host,6
638,Troy,Trojan,6
639,Phthia,Thou,6
640,Priam,Ilium,6
641,Greece,Arms,6
642,Chief,Hands,6
643,Had,Jove,6
644,Agamemnon,Achilles,6
645,Old,Chief,6
646,Gods,Host,6
647,Achilles,Mother,6
648,Gods,Head,6
649,Gods,Thunderer,6
650,Juno,Neptune,6
651,Neptune,Jove,6
652,Jove,Him,6
653,Troy,Thy,6
654,Troy,Whom,6
655,Ulysses,Arms,6
656,Jove,Success,6
657,Juno,Gods,6
658,Thetis,Jove,6
659,Juno,Powers,6
660,Juno,Side,6
661,Grecians,Agamemnon,6
662,Nestor,Battle,6
663,Agamemnon,Battle,6
664,Chiefs,Achilles,6
665,Agamemnon,Side,6
666,Ilium,Hath,6
667,Ilium,Juno,6
668,Juno,Hath,6
669,Agamemnon,Atreus,6
670,Him,Head,6
671,Gods,From,6
672,Jove,Fate,6
673,Greece,Host,6
674,Friends,Leaders,6
675,Greeks,Toil,6
676,Helen,Argos,6
677,Helen,Home,6
678,Laertes,Wiles,6
679,Achilles,Accents,6
680,Agamemnon,Ulysses,6
681,Grecians,Shame,6
682,Troy,Gods,6
683,Jove,Himself,6
684,Priam,City,6
685,Gods,War,6
686,Troy,Men,6
687,Jove,Thence,6
688,Ajax,Jove,6
689,Ajax,Menelaus,6
690,Tydeus,Ulysses,6
691,Jove,Mind,6
692,Heroic,Chief,6
693,Atrides,Agamemnon,6
694,Diomede,Man,6
695,Sthenelus,Son,6
696,Menelaus,Host,6
697,Myrmidons,Achilles,6
698,Achilles,None,6
699,Chief,Who,6
700,Evæmon,Son,6
701,Hector,City,6
