,Source,Target,Weight
458,Brugh-fer,Poet,3
459,Brugh-fer,Songs,3
460,Land,Ireland,3
461,Danaans,House,3
462,Balor,Sister,3
463,Balor,House,3
464,Balor,Ireland,3
465,Balor,Woman,3
466,Son,Sister,3
467,Son,Woman,3
468,Balor,Druids,3
469,Balor,Wind,3
470,Balor,Till,3
471,Gobhaun,Dun,3
472,Saor,Dun,3
473,Son,To-morrow,3
474,Balor,Dark,3
475,Balor,Waters,3
476,Mananaun,Son,3
477,Smith,Ireland,3
478,Smith,Day,3
479,Cow,Ireland,3
480,Ireland,Heart,3
481,Gobniu,Halter,3
482,Cow,Halter,3
483,Cow,Morning,3
484,Ireland,Champion,3
485,Gobniu,Sword,3
486,Gobniu,Smith,3
487,Ireland,Sword,3
488,Cow,Till,3
489,Cow,Land,3
490,Balor,Land,3
491,Fomor,Sword,3
492,Fomor,Night,3
493,Ireland,Night,3
494,Cow,Head,3
495,Plenty,Land,3
496,Balor,Garth,3
497,Balor,Apples,3
498,Mananaun,Cloak,3
499,Mac,Son,3
500,Lugh,Waves,3
501,Ireland,Rivers,3
502,Lugh,Hands,3
503,Lugh,Mountains,3
504,Mananaun,Ireland,3
505,Ireland,Country,3
506,Mananaun,Light,3
507,Sword,Hand,3
508,Light,Hand,3
509,Lugh,Hand,3
510,Lugh,Hills,3
511,Lugh,Rivers,3
512,Ireland,Music,3
513,Lugh,Champion,3
514,Ireland,Wind,3
515,Lugh,Comrades,3
516,Lugh,Sea,3
517,Ireland,Thoth,3
518,Ireland,Rury,3
519,Waves,Wave,3
520,Wave,Cleena,3
521,Ildana,Lugh,3
522,Great,King,3
523,Lugh,Ogma.,3
524,Ildana,Nuada.,3
525,Lugh,Joy,3
526,Fomorians,Nuada,3
527,Hill,Usna,3
528,Nuada,Lords,3
529,Nuada,Ireland,3
530,Balor,Tuatha,3
531,Evil,Lugh,3
532,King,Lugh,3
533,Ireland,Stone,3
534,Ireland,Light,3
535,Sword,Earth,3
536,Sacred,Land,3
537,Destiny,Fire,3
538,Fire,Earth,3
539,Brian,Sons,3
