Source,Target
fire,balder
fire,bull
fire,centre
fire,chariot
fire,coal
fire,colour
fire,destruction
fire,devil
fire,dove
fire,dust
fire,elements
fire,emperor
fire,eye
fire,father
fire,flame
fire,fool
fire,giant
fire,head
fire,hell
fire,horse
fire,life
fire,lyre
fire,man
fire,metals
fire,mouth
fire,music
fire,musician
fire,pearl
fire,procession
fire,radiance
fire,scars
fire,smoke
fire,stone
fire,sword
fire,thunderbolt
fire,tree
fire,trumpet
fire,water
fire,wood
fish,animals
fish,bird
fish,monsters
fish,net
fish,ocean
fish,sword
fish,water
flame,crown
flame,fire
flame,head
flame,sword
flight,air
flight,crow
flight,eagle
flight,journey
flight,wings
flocks,bird
flocks,dog
flocks,shepherd
flute,music
flute,object
flute,sound
foot,fountain
foot,four
foot,shoes
foot,steed
foot,wings
forest,boat
forest,garden
forest,water
fountain,egg
fruit,bird
fruit,birds
fruit,branch
fruit,centaur
garden,barriers
garden,clothes
garden,column
garden,emperor
garden,enclosure
garden,fountain
garden,giant
garden,harp
garden,hesperides
garden,labyrinth
garden,twilight
garland,world
giant,monsters
goblet,heart
gold,ages
gold,bath
gold,belt
gold,blood
gold,bull
gold,chariot
gold,colour
gold,column
gold,dog
gold,flame
gold,fool
gold,heart
gold,king
gold,lion
gold,locusts
gold,metals
gold,mountain
gold,serpent
gold,stone
gold,treasure
gold,triumph
gold,white
gorgon,monsters
gorgon,pegasus
gorgon,serpent
gorgon,stone
guardian,cat
guardian,cerberus
guardian,dragon
guardian,farmer
guardian,giant
guardian,hesperides
guardian,wolf
hair,blood
hair,dragon
hair,gorgon
hair,locusts
hair,moon
hair,pan
hair,serpent
hair,white
halo,centre
hamlet,skull
hammer,weapons
hand,abyss
hand,animals
hand,belt
hand,birds
hand,blood
hand,boar
hand,bull
hand,castle
hand,chain
hand,cloak
hand,clouds
hand,colour
hand,column
hand,death
hand,desert
hand,eagle
hand,eye
hand,fight
hand,fire
hand,fish
hand,foot
hand,gloves
hand,head
hand,horse
hand,house
hand,invisibility
hand,island
hand,justice
hand,king
hand,loss
hand,man
hand,marks
hand,minstrel
hand,moon
hand,mountain
hand,music
hand,neptune
hand,four
hand,object
hand,ocean
hand,relief
hand,river
hand,scales
hand,seasons
hand,secret
hand,ship
hand,sign
hand,smoke
hand,space
hand,stars
hand,superiority
