,Source,Target,Weight
444,Persephone,Day,2
445,Hades,Throne,2
446,Persephone,Zeus,2
447,Persephone,Olympus,2
448,Zeus,Head,2
449,Persephone,Flowers,2
450,Persephone,Enna,2
451,Enna,Valley,2
452,Enna,Meadows,2
453,Enna,Flowers,2
454,Enna,Year,2
455,Persephone,Meadow,2
456,Demeter,Swift,2
457,Demeter,Despair,2
458,Zeus,Girl,2
459,Demeter,Persephone,2
460,Demeter,Hades,2
461,Persephone,Hades,2
462,Metaneira,Nurse,2
463,Demophoon,Demeter,2
464,Demeter,Baby,2
465,Zeus,Iris,2
466,Iris,Rainbow,2
467,Iris,Demeter,2
468,Iris,Olympus,2
469,Demeter,Iris,2
470,Demeter,Olympus,2
471,Olympus,Swift,2
472,Olympus,Ray,2
473,Olympus,Light,2
474,Demeter,Head,2
475,Hermes,Sandals,2
476,Hermes,Persephone,2
477,Persephone,Beside,2
478,Persephone,Pale,2
479,Hades,Pale,2
480,Hermes,Daughter,2
481,Persephone,Mother,2
482,Persephone,Time,2
483,Demeter,Mourns,2
484,Demeter,Trees,2
485,Demeter,Leaves,2
486,Demeter,Cold,2
487,I3ionysus,Wine,2
488,Bacchus,Wine,2
489,Wine,Water,2
490,Dionysus,Wine,2
491,Greeks,Thought,2
492,Dionysus,Way,2
493,Olympus,Age,2
494,Thebes,Mother,2
495,Thebes,Dionysus,2
496,Asia,Nymphs,2
497,Asia,Satyrs,2
498,Pan,God,2
499,Dionysus,Train,2
500,Dionysus,Ivy,2
501,Dionysus,Mysteries,2
502,Tendrils,Mast,2
503,Dionysus,Festival,2
504,Athens,Plays,2
505,Psyche,Men,2
506,Psyche,Palace,2
507,Aphrodite,Queen,2
508,Aphrodite,Men,2
509,Psyche,Beauty,2
510,Psyche,Son,2
511,Psyche,Revenge,2
512,Psyche,Man,2
513,Psyche,Daughter,2
514,Psyche,Wife,2
515,Psyche,Rock,2
516,Psyche,Valley,2
517,Psyche,Voices,2
518,Psyche,Servants,2
519,Psyche,Oil,2
520,Psyche,Day,2
521,Psyche,Heard,2
522,Psyche,Sister,2
523,Psyche,Greek,2
524,Psyche,Fate,2
525,Psyche,House,2
526,Cupid,Enemy,2
527,Aphrodite,Cupid,2
528,Aphrodite,News,2
529,Aphrodite,Time,2
530,Cupid,Time,2
531,Aphrodite,Son,2
532,Aphrodite,Fury,2
533,Psyche,Look,2
534,Psyche,Underworld,2
535,Men,Heroes,2
536,Psyche,Death,2
537,Tenaros,Mouth,2
538,Charon,Styx,2
539,Cerberus,Hades,2
540,Hades,Gate,2
541,Hades,Side,2
542,Aphrodite,Aid,2
543,Styx,Myths,2
544,Charon,Ferryman,2
545,Hades,Dog,2
546,Olympus,Bride,2
547,Olympus,Psyche,2
548,Hyacinthus,Locks,2
549,Hyacinthus,Wind,2
550,West,Wind,2
551,Wind,Curls,2
552,Apollo,Wind,2
553,Apollo,Spring,2
554,Hyacinthus,Way,2
555,Hyacinthus,Spring,2
556,Hyacinthus,Flowers,2
557,Narcissus,Boy,2
558,Narcissus,Love,2
559,Echo,Words,2
560,Echo,Cissus,2
561,Echo,Love,2
562,Adonis,Aphrodite,2
563,Aphro-,Dite,2
564,Zeus,Adonis,2
565,Adonis,Months,2
566,Adonis,Dwelt,2
567,Adonis,Land,2
568,Adonis,Youth,2
569,Hades,Ghosts,2
570,Achilles,Heroes,2
571,Artemis,Huntress,2
572,Artemis,Boar,2
573,Artemis,Endymion,2
574,Artemis,Hills,2
575,Endymion,Month,2
576,Olympus,Love,2
577,Zeus,Gift,2
578,Zeus,Immortality,2
579,Ill,Man,2
580,Greeks,Stories,2
581,Greeks,Man,2
582,Milk,Men,2
583,Zeus,Creation,2
584,Zeus,Epimetheus,2
585,Epimetheus,Undertook,2
586,Epimetheus,Order,2
587,Epimetheus,Things,2
588,Epimetheus,Trouble,2
589,Man.,Man,2
590,Prometheus,Rock,2
591,Prometheus,Sun,2
592,Zeus,Ages,2
593,Pandora,Something,2
594,Pandora,Epimetheus,2
595,Hermes,Epimetheus,2
596,Messenger,Epimetheus,2
597,Epimetheus,Gifts,2
598,Epimetheus,Zeus,2
599,Wolves,Sheep,2
600,Zeus,Muses,2
601,Muses,Gods,2
602,Pyrrha,Earth,2
603,Deucalion,Goddess,2
604,Men,Gods,2
605,Leto,City,2
606,Greece,Queen,2
607,Greece,Place,2
608,Tantalus,Zeus,2
609,Zeus,Niobe,2
610,Niobe,Mother,2
611,Atlas,Giant,2
612,Did,Was,2
613,Was,Had,2
614,Was,Sons,2
615,Was,Daughters,2
616,None,Gods,2
617,People,Streets,2
618,Niobe,Challenge,2
619,Niobe,Goddess,2
620,Leto,Niobe,2
621,Leto,Place,2
622,Leto,Greek,2
623,Leto,Myths,2
624,Leto,People,2
625,Niobe,Sons,2
626,Niobe,Midst,2
627,Minos,Craftsman,2
628,Daedalus,Greeks,2
629,Daedalus,Artist,2
630,Daedalus,Engineer,2
631,.the,Statues,2
632,Dae-,Dalus,2
633,Minotaur,Passages,2
634,Daedalus,Sea,2
635,Minos,Time,2
636,Think,Wings,2
637,Icarus,Fall,2
638,Icarus,Stop,2
639,Icarus,Spread,2
640,Icarus,Wings,2
641,Midas,King,2
642,Midas,Honor,2
643,Midas,Hands,2
644,Midas,Time,2
645,Midas,God,2
646,Midas,Gold,2
647,Apollo,Land,2
648,Tmolus,Mountain,2
649,Tmolus,Land,2
650,Tmolus,Pan,2
651,Pan,Pipe,2
652,Midas,Apollo,2
653,Apollo,Insistent,2
654,Apollo,Mortal,2
655,Apollo,Fault,2
656,Apollo,Punishment,2
657,Apollo,King,2
658,Midas,Asses,2
659,Great,Branches,2
660,Orpheus,Eurydice,2
661,Eurydice,Orpheus,2
662,Orpheus,Ghosts,2
663,Pygmalion,Galatea,2
664,Pygmalion,Beauty,2
665,Galatea,Arms,2
666,Pygmalion,Arms,2
667,Pygmalion,Girl,2
668,Aphrodite,Gift,2
669,Admetus,People,2
670,Admetus,One,2
671,Admetus,Apollo,2
672,Admetus,Fortunate,2
673,Apollo,Pelias,2
674,Pelias,Daughters,2
675,Pelias,Alcestis,2
676,Pelias,Daughter,2
677,Admetus,Pelias,2
678,Admetus,Alcestis,2
679,Admetus,Face,2
680,Fates,Man,2
681,People,Man,2
682,Admetus,Life,2
683,May,Admetus,2
684,Admetus,Couch,2
685,Alcestis,Fortunate,2
686,Heracles,Deeds,2
687,Heracles,Sorrow,2
688,Admetus,Heracles,2
689,Admetus,Wine,2
690,Heracles,Trouble,2
691,Heracles,Way,2
692,Cerberus,Heracles,2
693,Death,Hand,2
694,Alcestis,Hand,2
695,Heracles,Figure,2
696,Heracles,Cloak,2
697,Alcestis,Admetus,2
698,Admetus,Seriousness,2
699,Greeks,River,2
700,Thisbe,Hand,2
701,Thisbe,Gate,2
702,Thisbe,Eyes,2
703,Thisbe,Head,2
704,Thisbe,Feet,2
705,Thisbe,Cloak,2
706,Thisbe,Jaws,2
707,Ninus,Thisbe,2
708,Tomb,Thisbe,2
709,Thisbe,Pyramus,2
710,Pyramus,Sword,2
711,Thisbe,Body,2
712,Baucis,Table,2
713,Baucis,Gods,2
714,Calydon,Meleager,2
715,Meleager,Father,2
716,Calydon,Boar,2
717,Meleager,Heroes,2
718,Althaea,Heroes,2
719,Atalanta,Hand,2
720,Atalanta,Beauty,2
721,Atalanta,One,2
722,Atalanta,Uncles,2
723,Atalanta,Men,2
724,Atalanta,Boar,2
725,Althaea,Brothers,2
726,Althaea,Meleager,2
727,Atalanta,Myths,2
728,Atalanta,Death,2
729,Atalanta,Althaea,2
730,Meleager,Men,2
731,Hippomenes,Lovers,2
732,Hippomenes,Woman,2
733,Atalanta,Goddess,2
734,Hip-,Pomenes,2
735,Atalanta,Apple,2
736,Atalanta,Man,2
737,Atalanta,Story,2
738,Atalanta,Bride,2
739,Proitos,Love,2
740,Bellerophon,Anteia,2
741,Bellerophon,Wife,2
742,Bellerophon,Man,2
743,Bellerophon,Nothing,2
744,Anteia,Proitos,2
745,Proitos,Nothing,2
746,Bellerophon,Letter,2
747,Lycia,Chimera,2
748,Proitos,Way,2
749,Phaethon,Trail,2
750,Bellerophon,Host,2
751,Bellerophon,Monster,2
752,Chimera,Goat,2
753,Bellerophon,Chimera,2
754,Proitos,Kingdom,2
755,Lycia,Beast,2
756,Bellerophon,Side,2
757,Pegasus,Chimera,2
758,Chimera,Pegasus,2
759,Bellerophon,Hand,2
760,Bellerophon,Athene,2
761,Pegasus,Hero,2
762,Bellerophon,Air,2
763,Pegasus,Air,2
764,Bellerophon,Arrow,2
765,Pegasus,Bellerophon,2
766,Pegasus,Spear,2
767,Bellerophon,Spear,2
768,Bellero-,Phon,2
769,Zeus,Horse,2
770,Acrisios,Kingdom,2
771,Danae,Son,2
772,Danae,Years,2
773,Apollo,Acrisios,2
774,Acrisios,Son,2
775,Danae,Acrisios,2
776,Dictys,Danae,2
777,Dictys,Brother,2
778,Dictys,Island,2
779,Danae,Servant,2
780,Danae,Palace,2
781,Polydectes,Island,2
782,Danae,Dictys,2
783,Polydectes,Dictys,2
784,Perseus,Year,2
785,Polydectes,Man,2
786,Perseus,Man,2
787,Perseus,Island,2
788,Danae,Wife,2
789,Polydectes,Others,2
790,Perseus,Nothing,2
791,Gorgons,Hands,2
792,Medusa,Hair,2
793,Perseus,Gorgons,2
794,Gorgon,Head,2
795,Gorgon,Sword,2
796,Perseus,Hand,2
797,Perseus,Hat,2
798,Perseus,Darkness,2
799,Hermes,Athene,2
800,Medusa,Perseus,2
801,Gorgons,Shield,2
802,Perseus,Horror,2
803,Perseus,Sight,2
804,Skinny,Wings,2
805,Perseus,Wind,2
806,Perseus,Sand,2
807,Perseus,Medusa,2
808,Perseus,Thing,2
809,Perseus,Atlas,2
810,Perseus,Water,2
811,Andromeda,King,2
812,Andromeda,Cassiopeia,2
813,Cassiopeia,People,2
814,Cassiopeia,Proud,2
815,Nereus,Wrath,2
816,Nereus,Poseidon,2
817,Nereus,Land,2
818,Polydectes,Time,2
819,Polydectes,Departure,2
820,Polydectes,First,2
821,Danae,Refuge,2
822,Gorgon,Perseus,2
823,Acrisios,King,2
824,Perseus,Acrisios,2
825,Greece,Argos,2
826,Acrisios,Perseus,2
827,Heroes,Perseus,2
828,Greece,Perseus,2
829,Perseus,Discus,2
830,Perseus,Throwing,2
831,Aeson,Pelias,2
832,Aeson,Child,2
833,Pelias,Cheiron,2
834,Pelias,Half,2
